mu_g,mu_r,mu_b,sd_g,sd_r,sd_b
0.82174027,0.6057575,0.69022804,0.14902698,0.23239492,0.17302874
0.90688866,0.82545334,0.88586825,0.12033249,0.15576199,0.09387335
0.8739338,0.65604573,0.7552359,0.12880951,0.24055777,0.16068025
0.878245,0.7766961,0.8419625,0.12739404,0.15316765,0.092812054
0.86275077,0.7019971,0.8226753,0.1906076,0.23958099,0.14063963
0.91892254,0.84553,0.85939133,0.07683843,0.105607204,0.08011425
0.93505627,0.57360566,0.7470926,0.09828225,0.23325941,0.13573536
0.9380273,0.859465,0.8926128,0.08293058,0.110567644,0.07241917
0.8808479,0.7408032,0.8629707,0.13345084,0.17197458,0.08287139
0.9018827,0.6921104,0.8062868,0.14913066,0.1988695,0.12037156
0.907507,0.8000677,0.86730635,0.1210234,0.16934358,0.10603317
0.9442297,0.7385204,0.81131727,0.0882523,0.18112567,0.11941955
0.92540723,0.82957697,0.85951036,0.08084451,0.12488911,0.0849226
0.81593674,0.49382216,0.6727976,0.17254245,0.28586912,0.18507275
0.83969516,0.6314529,0.7659315,0.15526389,0.21994606,0.13448662
0.8663746,0.69256383,0.82187074,0.17779402,0.23055582,0.13444504
0.9495623,0.8964579,0.91063356,0.05390868,0.08792784,0.059232756
0.95952654,0.92159545,0.91848826,0.04246998,0.05509798,0.045960277
0.793681,0.4190091,0.6329977,0.16027641,0.280717,0.1796265
0.9197925,0.8375907,0.8681721,0.10092614,0.124200515,0.08252116
0.9378846,0.8627101,0.8934517,0.081232406,0.0958713,0.062166225
0.9113989,0.8244177,0.8714798,0.12410086,0.14469777,0.09118346
0.94006133,0.8416966,0.8855818,0.08493573,0.12017818,0.071435995
0.8369691,0.67310363,0.78385866,0.15180342,0.21483958,0.13310163
0.9252733,0.84152436,0.8752142,0.0916892,0.116139755,0.07868369
0.94613636,0.87809646,0.9000576,0.0646428,0.09079591,0.058904815
0.86013836,0.57719404,0.7266678,0.1486928,0.2597153,0.16621463
0.9263334,0.8386807,0.85690516,0.07600105,0.109838925,0.080802836
0.85418105,0.4969238,0.65006226,0.1592953,0.31832144,0.22210617
0.89524776,0.7915555,0.846847,0.11572016,0.14483401,0.0936269
0.94570994,0.63890827,0.7529575,0.08536358,0.21007264,0.14325032
0.9238173,0.8143944,0.8823752,0.09101351,0.13018584,0.08070888
0.87592334,0.77780294,0.8333051,0.13030228,0.15312818,0.09974797
0.9422999,0.8889228,0.9018941,0.05880751,0.085784934,0.06363386
0.7360422,0.4425784,0.6322128,0.20449841,0.31360403,0.21136536
0.8232728,0.6175443,0.7090089,0.1881125,0.2521467,0.178612
0.8661474,0.73059577,0.81185937,0.12900291,0.18491043,0.12056085
0.892583,0.76318777,0.8186166,0.12442569,0.17244798,0.115645796
0.91545314,0.8414672,0.86508834,0.10208398,0.12437657,0.08333353
0.9458259,0.8932571,0.8904434,0.057319567,0.07984699,0.0679999
0.90703565,0.7813235,0.8341951,0.117165245,0.16344984,0.10930426
0.8001265,0.5509978,0.7083773,0.16572727,0.2660939,0.17936562
0.8366749,0.6147325,0.746924,0.18159287,0.22597726,0.14361781
0.91692865,0.81141704,0.84695166,0.08874863,0.12787493,0.08720358
0.93611234,0.8378172,0.87108487,0.07204999,0.11111423,0.07416799
0.8716506,0.7680468,0.87222826,0.12847048,0.14165348,0.07290264
0.85410243,0.5506716,0.69503736,0.15002911,0.266778,0.18388228
0.8625648,0.5231868,0.6972488,0.14033204,0.27559835,0.17610306
0.9180381,0.83479786,0.8621085,0.08509189,0.11700891,0.081659086
0.88908404,0.77074844,0.82297117,0.10456774,0.1564596,0.10968232
0.8873993,0.8037743,0.83667606,0.12681873,0.1556684,0.11525281
0.93009365,0.82635885,0.86485237,0.08677849,0.114804216,0.07373872
0.9408565,0.7314132,0.8052442,0.09308962,0.17633978,0.117131725
0.87990266,0.6054742,0.74449867,0.1261863,0.26951545,0.17411232
0.9100688,0.8065415,0.8457561,0.10357397,0.1347883,0.094006486
0.8740771,0.7889842,0.87379634,0.12275971,0.13696674,0.07075133
0.8875905,0.7295792,0.83520675,0.16158587,0.21471885,0.12835534
0.92413193,0.8506249,0.87099385,0.07938313,0.1019076,0.07262054
0.94671375,0.5462378,0.7280971,0.08965461,0.24174061,0.14499064
0.75560373,0.5066356,0.6843335,0.18725991,0.27599514,0.17751428
0.9387312,0.86167693,0.8957921,0.0854377,0.10980806,0.06624967
0.91672516,0.8071627,0.8429683,0.094047084,0.13594046,0.095602
0.75813437,0.6109749,0.7361554,0.20424622,0.26627606,0.17156184
0.92946106,0.8601234,0.87431836,0.09432986,0.12996252,0.09911375
