rid,score,incl_of_fold0
iYYDdl,-1.0,"['172_KL', '115_DEF', '004_GHK', '014_CD', '104_AB', '140_DEF', '210_L', '002_ABC']"
tYHqrm,-1.0,"['012_AB', '124_AB', '111_EF', '032_AB', '145_LMN', '049_DEF', '141_EF', '144_EF']"
drPjm9,-1.0,"['171_M', '136_FG', '162_DEF', '055_ABC', '146_DEF', '172_ABC', '189_EF', '144_EF', '107_L']"
HyYvXa,0.0,"['027_FG', '123_EF', '172_KL', '183_DEF', '118_DEF', '025_AB']"
a9bV3s,0.0,"['109_ABC', '171_M', '077_DEF', '141_EF', '185_ABC', '004_GHK', '049_DEF', '205_DEF', '132_DEF', '054_GH']"
KVC2Rs,-1.0,"['080_G', '097_ABC', '016_DEF', '172_KL', '140_DEF', '164_DEF', '143_F', '066_GH', '102_AB']"
YnhBs9,0.0,"['132_DEF', '123_EF', '118_ABC', '007_DEF', '034_EF', '032_AB', '107_ABC', '189_EF']"
KFBQcl,-1.0,"['077_DEF', '002_ABC', '118_DEF', '210_L', '171_M', '172_ABC', '141_EF']"
iParIw,-1.0,"['062_ABC', '072_ABC', '158_CD', '068_DEF', '167_CD', '124_AB', '016_DEF', '074_DEF', '160_A']"
fSyPEU,0.0,"['104_AB', '164_DEF', '197_ABC', '160_A', '028_EF', '155_DEF', '123_EF', '016_KL']"
aGpM8p,-1.0,"['049_DEF', '083_DEF', '129_DEF', '002_ABC', '158_CD', '185_ABC']"
YZYRbr,0.0,"['181_G', '068_ABC', '181_AB', '118_DEF', '201_KL', '071_FGH', '014_CD', '200_AB', '049_DEF']"
eMhgEQ,0.0,"['200_AB', '042_DE', '016_DEF', '066_GH', '107_ABC', '132_DEF', '083_DEF', '193_ABCD', '177_DEF']"
viFv5A,-1.0,"['201_KL', '066_GH', '019_ABC', '151_CD', '010_KL', '016_KL', '119_L', '189_EF']"
LsV6MN,-1.0,"['097_ABC', '201_KL', '078_CD', '115_DEF', '030_GH', '171_M', '051_GH', '203_ABC']"
QpJymL,0.0,"['071_FGH', '123_EF', '002_DEF', '117_KL', '183_DEF', '001_ABC']"
MMOSa7,-1.0,"['038_DE', '172_KL', '104_AB', '155_DEF', '193_ABCD', '162_DEF', '016_DEF']"
PkVRtd,0.0,"['032_EF', '212_ABC', '167_CD', '091_AB', '077_DEF', '002_DEF', '002_ABC', '164_DEF', '148_ABC', '201_KL', '074_ABC']"
HRgUUD,0.0,"['158_CD', '212_ABC', '118_DEF', '185_ABC', '077_DEF', '111_EF']"
MvxHzP,-1.0,"['066_GH', '109_ABC', '083_DEF', '201_KL', '108_CD', '151_CD', '016_GH', '173_FGH', '031_ABC', '148_DEF']"
UD6WNo,-1.0,"['062_ABC', '160_A', '036_AB', '185_ABC', '074_ABC', '071_FGH', '148_ABC', '176_GHK']"
P4XtF5,-1.0,"['104_AB', '051_GH', '171_M', '141_EF', '177_DEF', '172_ABC', '066_GH', '183_DEF']"
udcbnR,0.0,"['152_DEF', '141_EF', '039_DEF', '012_AB', '001_ABC', '120_GH', '124_AB']"
O6gZt6,-1.0,"['181_AB', '010_KL', '148_DEF', '104_AB', '177_DEF', '072_ABC', '097_ABC', '171_M']"
3ltqGw,0.0,"['049_DEF', '205_DEF', '171_M', '136_FG', '077_DEF', '033_KL', '010_KL', '152_DEF']"
G1xkZW,-1.0,"['160_C', '158_CD', '074_DEF', '033_KL', '136_FG', '150_DEF', '016_KL']"
QTXUmE,-1.0,"['120_GH', '171_M', '150_DEF', '104_AB', '118_ABC', '026_DEF', '176_GHK', '031_ABC', '205_DEF', '158_CD']"
2wWd6L,-1.0,"['080_ABC', '117_KL', '016_GH', '016_KL', '108_CD', '080_G', '132_DEF', '152_DEF']"
UYcNB4,0.0,"['173_FGH', '080_G', '129_DEF', '049_DEF', '140_DEF', '097_ABC', '083_DEF', '115_DEF', '019_ABC']"
lpTXAU,0.0,"['129_DEF', '193_ABCD', '017_DEF', '136_FG', '074_ABC', '020_AB', '068_DEF', '110_DEF']"
t57VrH,0.0,"['151_CD', '091_AB', '104_AB', '172_ABC', '118_DEF', '017_DEF', '016_GH', '078_CD', '032_EF']"
GdbIsE,-1.0,"['026_DEF', '049_DEF', '068_ABC', '143_F', '066_GH', '080_ABC', '109_ABC', '169_DEF', '032_AB', '120_GH']"
Mw5Rr1,-1.0,"['019_ABC', '129_DEF', '150_DEF', '066_GH', '068_DEF', '074_ABC', '082_ABC', '146_DEF']"
AIJqGp,-1.0,"['002_ABC', '201_KL', '083_DEF', '041_ABC', '111_EF', '038_DE', '197_ABC', '117_KL', '160_A']"
6TqMbS,-1.0,"['012_AB', '117_KL', '055_ABC', '158_CD', '201_KL', '181_G', '028_EF', '019_ABC', '172_KL', '108_CD']"
17oTnS,-1.0,"['172_ABC', '012_AB', '208_DEF', '144_EF', '148_ABC', '120_GH', '016_GH', '203_ABC', '129_DEF', '143_F', '068_ABC']"
mxYmhx,-1.0,"['032_EF', '001_ABC', '148_DEF', '124_AB', '117_KL', '185_ABC', '164_DEF', '172_KL', '074_DEF', '055_ABC']"
S1MBIf,-1.0,"['177_DEF', '135_ABC', '181_G', '038_DE', '148_ABC', '072_ABC', '162_DEF', '074_DEF', '102_AB']"
3RkGS3,-1.0,"['107_ABC', '041_ABC', '031_ABC', '074_DEF', '140_DEF', '097_ABC', '017_DEF', '036_AB']"
6lxTrg,-1.0,"['004_GHK', '210_L', '123_EF', '143_F', '172_ABC', '115_DEF', '108_CD', '169_DEF', '025_AB', '062_ABC']"
bE4i8j,-1.0,"['144_CD', '019_ABC', '071_FGH', '176_GHK', '160_C', '145_LMN', '030_GH', '012_AB']"
qajh6L,0.0,"['123_EF', '027_FG', '030_GH', '111_EF', '016_GH', '080_ABC']"
Z5clWk,-1.0,"['074_DEF', '205_DEF', '016_GH', '007_DEF', '055_ABC', '136_FG', '004_GHK', '169_DEF', '148_DEF']"
jwhQzC,-1.0,"['027_FG', '208_ABC', '115_DEF', '125_DEF', '123_EF', '176_GHK']"
rT08Q3,-1.0,"['030_GH', '074_ABC', '062_ABC', '080_G', '210_L', '066_GH', '164_DEF', '014_CD', '212_ABC']"
0yrMUO,-1.0,"['158_CD', '049_DEF', '002_ABC', '183_DEF', '172_ABC', '167_CD', '173_FGH', '160_A']"
V5bg6n,-1.0,"['172_ABC', '115_DEF', '181_G', '171_M', '177_DEF', '141_EF', '020_AB', '144_EF', '150_DEF', '155_DEF']"
cGvWbl,0.0,"['198_EF', '077_DEF', '143_F', '083_DEF', '038_DE', '203_ABC', '169_DEF', '030_GH']"
Uzov5g,0.0,"['074_ABC', '148_DEF', '039_DEF', '002_DEF', '181_G', '028_EF', '032_AB']"
R8WVhW,0.0,"['039_DEF', '118_ABC', '007_DEF', '054_GH', '145_LMN', '042_DE', '051_GH', '123_EF', '205_DEF', '177_DEF']"
NNFxLB,0.0,"['148_DEF', '193_ABCD', '028_EF', '010_KL', '145_LMN', '002_ABC', '042_DE', '124_AB', '123_EF']"
iHJOZa,0.0,"['111_EF', '045_DEF', '200_AB', '135_ABC', '155_DEF', '208_ABC', '110_DEF', '007_DEF', '016_DEF']"
N0pfwz,0.0,"['160_C', '132_DEF', '181_G', '109_ABC', '034_EF', '193_ABCD', '033_KL', '152_DEF', '136_FG']"
legNY6,-1.0,"['151_CD', '176_GHK', '143_F', '082_ABC', '160_A', '032_AB', '078_CD']"
Eg65ZS,0.0,"['091_AB', '111_EF', '002_ABC', '017_DEF', '151_CD', '189_EF', '030_GH', '034_EF', '038_DE', '016_DEF']"
N89bdK,0.0,"['125_DEF', '136_FG', '118_ABC', '145_LMN', '080_G', '158_CD', '152_DEF', '055_ABC', '198_EF', '197_ABC']"
8JPk57,-1.0,"['172_KL', '062_ABC', '120_GH', '173_FGH', '140_DEF', '141_EF', '038_DE', '066_GH', '198_EF']"
caefbS,0.0,"['197_ABC', '160_C', '124_AB', '080_G', '181_AB']"
oYSjIE,-1.0,"['124_AB', '007_DEF', '203_ABC', '014_CD', '083_DEF', '066_GH', '129_DEF', '016_GH', '062_ABC']"
DXGrQg,-1.0,"['033_KL', '017_DEF', '055_ABC', '144_EF', '019_ABC', '193_ABCD', '032_AB', '176_GHK', '108_CD']"
EB1SI8,-1.0,"['118_ABC', '051_GH', '143_F', '049_DEF', '148_ABC', '062_ABC', '141_EF', '160_C', '033_KL']"
